pnu,floor,year_approval,area_exclusive,price
11410120001,2,2010,63.2,225000000.0
11440101001,2,1976,97.58,389280000.0
11440102001,2,2006,60.6,660000000.0
11440102001,2,2006,56.5,310000000.0
11440102001,2,1977,72.53,406000000.0
11440107001,2,2012,17.72,95000000.0
11440107001,2,2012,18.85,117500000.0
11440107001,2,2012,32.0,95000000.0
11440107001,2,2012,14.6,95000000.0
11440107001,2,2012,16.25,95000000.0
11440107001,2,2012,14.2,95000000.0
11440111001,2,2003,59.36,260000000.0
11440113001,2,2015,29.92,236000000.0
11440113001,2,2013,57.98,285000000.0
11440120001,2,2000,63.15,315000000.0
11440120001,2,2012,18.27,144000000.0
11440122001,2,2002,57.64,329000000.0
11440122001,2,2008,41.49,257500000.0
11440122001,2,2015,29.88,266000000.0
11440122001,2,2013,43.83,240000000.0
11440122001,2,2008,52.99,320000000.0
11440123001,2,2008,50.87,310000000.0
11440123001,2,1994,29.25,150000000.0
11440123001,2,2011,24.94,200000000.0
11440123001,2,2016,50.38,297000000.0
11440123001,2,1996,55.2,270000000.0
11440123001,2,1988,31.82,191000000.0
11440124001,2,2002,61.76,250000000.0
11440124001,2,2010,73.34,386500000.0
11440126001,2,1990,51.29,185000000.0
11440126001,2,1987,44.64,180000000.0
11440126001,2,1990,36.39,202000000.0
11440126001,2,1991,55.26,215000000.0
11470101001,2,2016,49.12,228000000.0
11470101001,2,1993,54.0,175000000.0
11470101001,2,2001,56.49,220000000.0
11470101001,2,1986,42.05,262000000.0
11470101001,2,1986,38.37,245000000.0
11470101001,2,2017,29.25,175500000.0
11470101001,2,1994,44.73,192000000.0
11470101001,2,2002,55.92,210000000.0
11470102001,2,2001,59.32,200000000.0
11470102001,2,2002,61.9,200000000.0
11470102001,2,2014,29.98,170000000.0
11470102001,2,2002,83.22,305000000.0
11470102001,2,2014,45.06,255000000.0
11470102001,2,2010,60.38,245000000.0
11470102001,2,2009,60.32,310000000.0
11470102001,2,1993,56.24,210000000.0
11470102001,2,2007,34.98,149000000.0
11470102001,2,2002,69.9,218000000.0
11470102001,2,2007,46.79,240000000.0
11470102001,2,1989,40.17,117000000.0
11470103001,2,1988,40.98,116000000.0
11470103001,2,2002,58.14,160000000.0
11470103001,2,2001,51.46,165000000.0
11470103001,2,2002,42.04,140000000.0
11470103001,2,2012,52.29,215000000.0
11470103001,2,2012,52.29,189000000.0
11470103001,2,2013,53.49,210000000.0
11470103001,2,1982,75.27,240000000.0
11470103001,2,1980,62.35,260000000.0
11470103001,2,1987,37.92,125000000.0
11470103001,2,2014,33.35,166000000.0
11470103001,2,1982,81.09,235000000.0
11470103001,2,1989,36.75,40000000.0
11470103001,2,1991,36.08,109000000.0
11470103001,2,1991,33.27,159000000.0
11470103001,2,1988,41.4,127000000.0
11470103001,2,1996,46.34,157000000.0
11500102001,2,1988,60.84,227500000.0
11500103001,2,1991,43.47,105000000.0
11500103001,2,1991,52.15,135000000.0
